region,ds,y,calendar_ds
abruzzo,2014-03-30,2.2,2016-04-10
abruzzo,2014-04-06,2.52,2016-04-17
abruzzo,2014-04-13,1.61,2016-04-24
abruzzo,2014-04-20,1.19,2016-11-06
abruzzo,2014-04-27,0.92,2016-11-13
abruzzo,2014-05-04,1.45,2016-11-20
abruzzo,2014-05-11,1.6,2016-11-27
abruzzo,2014-05-18,1.95,2016-12-04
abruzzo,2014-05-25,1.76,2016-12-11
abruzzo,2014-06-01,4.32,2016-12-18
abruzzo,2014-06-08,7.15,2016-12-25
abruzzo,2014-06-15,12.43,2017-01-01
abruzzo,2014-06-22,10.18,2017-01-08
abruzzo,2014-06-29,7.7,2017-01-15
abruzzo,2014-07-06,4.27,2017-01-22
abruzzo,2014-07-13,2.79,2017-01-29
abruzzo,2014-07-20,2.47,2017-02-05
abruzzo,2014-07-27,1.87,2017-02-12
abruzzo,2014-08-03,1.77,2017-02-19
abruzzo,2014-08-10,1.87,2017-02-26
abruzzo,2014-08-17,1.74,2017-03-05
abruzzo,2014-08-24,1.77,2017-03-12
abruzzo,2014-08-31,1.72,2017-03-19
abruzzo,2014-09-07,1.4,2017-03-26
abruzzo,2014-09-14,1.14,2017-04-02
abruzzo,2014-09-21,0.9,2017-04-09
abruzzo,2014-09-28,0.89,2017-04-16
abruzzo,2014-10-05,0.91,2017-04-23
abruzzo,2014-10-12,0.6,2017-04-30
abruzzo,2014-10-19,3.95,2017-11-05
abruzzo,2014-10-26,4.22,2017-11-12
abruzzo,2014-11-02,1.66,2017-11-19
abruzzo,2014-11-09,4.74,2017-11-26
abruzzo,2014-11-16,2.99,2017-12-03
abruzzo,2014-11-23,4.58,2017-12-10
abruzzo,2014-11-30,4.65,2017-12-17
abruzzo,2014-12-07,5.56,2017-12-24
abruzzo,2014-12-14,13.21,2017-12-31
abruzzo,2014-12-21,19.51,2018-01-07
abruzzo,2014-12-28,17.02,2018-01-14
abruzzo,2015-01-04,19.67,2018-01-21
abruzzo,2015-01-11,18.94,2018-01-28
abruzzo,2015-01-18,11.02,2018-02-04
abruzzo,2015-01-25,14.46,2018-02-11
abruzzo,2015-02-01,7.09,2018-02-18
abruzzo,2015-02-08,6.51,2018-02-25
abruzzo,2015-02-15,5.21,2018-03-04
abruzzo,2015-02-22,3.08,2018-03-11
abruzzo,2015-03-01,2.11,2018-03-18
abruzzo,2015-03-08,9.56,2018-03-25
abruzzo,2015-03-15,1.67,2018-04-01
abruzzo,2015-03-22,1.9,2018-04-08
abruzzo,2015-03-29,2.61,2018-04-15
abruzzo,2015-04-05,2.07,2018-04-22
abruzzo,2015-04-12,4.33,2018-04-29
abruzzo,2015-04-19,3.63,2018-10-28
abruzzo,2015-04-26,2.67,2018-11-04
abruzzo,2015-05-03,2.82,2018-11-11
abruzzo,2015-05-10,4.13,2018-11-18
abruzzo,2015-05-17,4.06,2018-11-25
abruzzo,2015-05-24,4.47,2018-12-02
abruzzo,2015-05-31,5.69,2018-12-09
abruzzo,2015-06-07,4.96,2018-12-16
abruzzo,2015-06-14,6.3,2018-12-23
abruzzo,2015-06-21,5.53,2018-12-30
abruzzo,2015-06-28,6.28,2019-01-06
abruzzo,2015-07-05,9.13,2019-01-13
abruzzo,2015-07-12,10.33,2019-01-20
abruzzo,2015-07-19,16.68,2019-01-27
abruzzo,2015-07-26,20.46,2019-02-03
abruzzo,2015-08-02,18.72,2019-02-10
abruzzo,2015-08-09,15.03,2019-02-17
abruzzo,2015-08-16,10.51,2019-02-24
abruzzo,2015-08-23,11.61,2019-03-03
abruzzo,2015-08-30,6.79,2019-03-10
abruzzo,2015-09-06,4.71,2019-03-17
abruzzo,2015-09-13,5.71,2019-03-24
abruzzo,2015-09-20,2.72,2019-03-31
abruzzo,2015-09-27,2.85,2019-04-07
abruzzo,2015-10-04,2.2,2019-04-14
abruzzo,2015-10-11,2.1,2019-04-21
abruzzo,2015-10-18,1.47,2019-04-28
abruzzo,2015-10-25,1.97,2019-11-03
abruzzo,2015-11-01,2.86,2019-11-10
abruzzo,2015-11-08,3.25,2019-11-17
abruzzo,2015-11-15,2.89,2019-11-24
abruzzo,2015-11-22,3.83,2019-12-01
abruzzo,2015-11-29,3.68,2019-12-08
abruzzo,2015-12-06,3.76,2019-12-15
abruzzo,2015-12-13,5.16,2019-12-22
abruzzo,2015-12-20,4.97,2019-12-29
abruzzo,2015-12-27,8.07,2020-01-05
abruzzo,2016-01-03,9.43,2020-01-12
abruzzo,2016-01-10,12.29,2020-01-19
abruzzo,2016-01-17,19.56,2020-01-26
abruzzo,2016-01-24,18.97,2020-02-02
abruzzo,2016-01-31,16.23,2020-02-09
abruzzo,2016-02-07,14.64,2020-02-16
abruzzo,2016-02-14,10.2,2020-02-23
abruzzo,2016-02-21,10.63,2020-03-01
abruzzo,2016-02-28,7.52,2020-03-08
abruzzo,2016-03-06,1.18,2020-04-05
abruzzo,2016-03-13,0.48,2020-04-26
abruzzo,2016-03-20,2.06,2020-12-06
abruzzo,2016-03-27,2.25,2020-12-13
abruzzo,2016-04-03,1.74,2020-12-20
abruzzo,2016-04-10,1.4,2020-12-27
abruzzo,2016-04-17,0.59,2021-01-03
abruzzo,2016-04-24,2.1,2021-01-10
abruzzo,2016-05-01,1.47,2021-01-17
abruzzo,2016-05-08,2.4,2021-01-24
abruzzo,2016-05-15,2.44,2021-01-31
abruzzo,2016-05-22,1.56,2021-02-07
abruzzo,2016-05-29,2.42,2021-02-14
abruzzo,2016-06-05,2.17,2021-02-21
abruzzo,2016-06-12,1.7,2021-02-28
abruzzo,2016-06-19,2.19,2021-03-07
abruzzo,2016-06-26,2.04,2021-03-14
abruzzo,2016-07-03,1.39,2021-03-21
abruzzo,2016-07-10,1.23,2021-03-28
abruzzo,2016-07-17,1.02,2021-04-04
abruzzo,2016-07-24,1.17,2021-04-11
abruzzo,2016-07-31,1.32,2021-04-18
abruzzo,2016-08-07,1.53,2021-04-25
abruzzo,2016-08-14,2.91,2021-11-07
abruzzo,2016-08-21,4.19,2021-11-14
abruzzo,2016-08-28,5.46,2021-11-21
abruzzo,2016-09-04,5.05,2021-11-28
abruzzo,2016-09-11,5.55,2021-12-05
abruzzo,2016-09-18,4.35,2021-12-12
abruzzo,2016-09-25,5.06,2021-12-19
abruzzo,2016-10-02,6.03,2021-12-26
abruzzo,2016-10-09,5.93,2022-01-02
abruzzo,2016-10-16,5.12,2022-01-09
abruzzo,2016-10-23,5.4,2022-01-16
abruzzo,2016-10-30,3.73,2022-01-23
abruzzo,2016-11-06,2.85,2022-01-30
abruzzo,2016-11-13,3.38,2022-02-06
abruzzo,2016-11-20,3.15,2022-02-13
abruzzo,2016-11-27,2.07,2022-02-20
abruzzo,2016-12-04,2.99,2022-02-27
abruzzo,2016-12-11,4.04,2022-03-06
abruzzo,2016-12-18,4.55,2022-03-13
abruzzo,2016-12-25,5.57,2022-03-20
abruzzo,2017-01-01,5.49,2022-03-27
abruzzo,2017-01-08,6.09,2022-04-03
abruzzo,2017-01-15,5.22,2022-04-10
abruzzo,2017-01-22,4.93,2022-04-17
abruzzo,2017-01-29,3.83,2022-04-24
abruzzo,2017-02-05,3.49,2022-05-01
abruzzo,2017-02-12,2.75,2022-10-30
abruzzo,2017-02-19,3.2,2022-11-06
abruzzo,2017-02-26,7.64,2022-11-13
abruzzo,2017-03-05,7.71,2022-11-20
abruzzo,2017-03-12,12.38,2022-11-27
abruzzo,2017-03-19,20.32,2022-12-04
abruzzo,2017-03-26,22.58,2022-12-11
abruzzo,2017-04-02,24.53,2022-12-18
abruzzo,2017-04-09,24.41,2022-12-25
abruzzo,2017-04-16,21.97,2023-01-01
abruzzo,2017-04-23,17.58,2023-01-08
