iter	RMSE
0	3.512206411
1	3.226398672
2	2.924288394
3	2.654717044
4	2.459568419
5	2.283868127
6	2.117302262
7	1.967733059
8	1.833230723
9	1.72255844
10	1.610070189
11	1.521328356
12	1.430692261
13	1.338182613
14	1.275192218
15	1.222982141
16	1.173569105
17	1.122775383
18	1.076936055
19	1.026575087
20	0.9881984547
21	0.9509017459
22	0.9177651472
23	0.8838263055
24	0.8548346471
25	0.8285537188
26	0.8067072581
27	0.7835829526
28	0.7597219068
29	0.7333487908
30	0.7138445795
31	0.6960017968
32	0.6806789872
33	0.6617947865
34	0.6470197989
35	0.633758776
36	0.6201974283
37	0.6068672785
38	0.594652423
39	0.5823126777
40	0.5712463551
41	0.5596448686
42	0.5472587433
43	0.5374451893
44	0.5284578114
45	0.5201346443
46	0.5110392509
47	0.5030978061
48	0.4944380269
49	0.4854068664
50	0.4770822161
51	0.4714986503
52	0.4639068041
53	0.4592650536
54	0.4521263882
55	0.4458156991
56	0.4417984951
57	0.4353181058
58	0.429157125
59	0.426153466
60	0.4194059117
61	0.4136523504
62	0.4071418173
63	0.4014181471
64	0.3953276623
65	0.390009608
66	0.3877826668
67	0.3825417633
68	0.379909722
69	0.3774741331
70	0.3748682517
71	0.3694621806
72	0.3670746467
73	0.3619833323
74	0.3591191561
75	0.3541124291
76	0.3515613213
77	0.3487051092
78	0.3470926167
79	0.3417131565
80	0.3402919382
81	0.3362541301
82	0.3325376361
83	0.3305062527
84	0.3274344401
85	0.3256242206
86	0.3241803724
87	0.318438917
88	0.315545427
89	0.3109186358
90	0.3099160544
91	0.3092635335
92	0.3082333892
93	0.3037913505
94	0.3000273662
95	0.2983254494
96	0.2942798156
97	0.2936120914
98	0.293053982
99	0.2921716406
100	0.288234642
101	0.2874442483
102	0.2844400518
103	0.2813348482
104	0.2778788243
105	0.2765194602
106	0.2722239676
107	0.2700528238
108	0.26799739
109	0.266420224
110	0.2637038322
111	0.2611631522
112	0.2610647121
113	0.2605558755
114	0.2594993684
115	0.258580412
116	0.2574153568
117	0.2555760776
118	0.2533784686
119	0.2532271974
120	0.2509855667
121	0.2499769689
122	0.247986535
123	0.2453249083
124	0.24397834
125	0.2437894213
126	0.2425189845
127	0.2418428449
128	0.2389315152
129	0.2387028879
130	0.2352158797
131	0.2328283097
132	0.2294233392
133	0.2267686563
134	0.2257846263
135	0.2244798189
136	0.2217192347
137	0.2191894318
138	0.2183885824
139	0.2171507939
140	0.2165873462
141	0.2138624152
142	0.212022319
143	0.2110851305
144	0.2098280657
145	0.2074574042
146	0.2056624311
147	0.2044060761
148	0.202830401
149	0.2020010884
150	0.2006382226
151	0.1998986903
152	0.1997455603
153	0.1989898659
154	0.1987491751
155	0.1985071235
156	0.1964540206
157	0.194895811
158	0.1945774449
159	0.1921512339
160	0.1896495423
161	0.1870856834
162	0.1851510378
163	0.1827184904
164	0.1817718636
165	0.1811775962
166	0.1791037521
167	0.1789528748
168	0.1779848473
169	0.1774899986
170	0.1754838761
171	0.1741979948
172	0.1739752549
173	0.1738272153
174	0.1735376354
175	0.1720440376
176	0.1708154989
177	0.1688040395
178	0.1686591428
179	0.1685705125
180	0.1681686586
181	0.1666612953
182	0.16553893
183	0.1638270636
184	0.1625651381
185	0.1620945043
186	0.1609918831
187	0.1594086311
188	0.1589413317
189	0.1580084724
190	0.1574561245
191	0.1563041027
192	0.1559038043
193	0.1553865984
194	0.1538465514
195	0.1522238407
196	0.1512206108
197	0.1499963314
198	0.149172513
199	0.1479034108
200	0.1469662527
201	0.1465719298
202	0.1459429974
203	0.1447933507
204	0.1439757532
205	0.1431014191
206	0.1427489294
207	0.1419763156
208	0.140537241
209	0.1404074985
210	0.1400212331
211	0.1396389338
212	0.1385835854
213	0.137333332
214	0.1364755696
215	0.1354766453
216	0.1347282183
217	0.1338954443
218	0.1325526892
219	0.1323294412
220	0.1310581992
221	0.1307157666
222	0.1297961491
223	0.1288626455
224	0.1282084024
225	0.1277687421
226	0.1276569203
227	0.1273563536
228	0.1268893051
229	0.1267849612
