model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,origin
ARIMA,1,0.34199597747587074,0.34199597747587074,6.45153946865189,0.19589987694145494,0.18185030711203914,0.2042931583393121,0.09092515355601957,1.0,0.050000000000000044,2006-10-15 00:00:00
ARIMA,1,0.06918122799532567,0.06918122799532567,3.27034702848053,0.039627934079719485,0.08354047725966476,0.09127325276792947,0.041770238629832396,1.0,0.050000000000000044,2006-11-12 00:00:00
ARIMA,1,0.21742253866515837,0.21742253866515837,25.028170617862667,0.12454254252685873,0.12236837763263879,0.13591813861034324,0.061184188816319374,1.0,0.050000000000000044,2006-12-10 00:00:00
ARIMA,1,1.33251155580714,1.33251155580714,34.84834440826089,0.763280468186509,1.0532819429180376,1.122214525633888,0.5266409714590188,0.0,0.95,2007-01-07 00:00:00
ARIMA,1,0.2619796060794908,0.2619796060794908,2.40590835476143,0.15006542758463892,0.14571425873994517,0.16200422527644354,0.07285712936997259,1.0,0.050000000000000044,2007-02-04 00:00:00
ARIMA,1,0.37340005981673463,0.37340005981673463,18.42404175785289,0.213888555964642,0.1976013611531306,0.22139660882458823,0.0988006805765653,1.0,0.050000000000000044,2007-03-04 00:00:00
ARIMA,1,0.12946464836254568,0.12946464836254568,8.435650068920692,0.07415908476374064,0.10891002871064595,0.11940975254721717,0.05445501435532297,1.0,0.050000000000000044,2007-04-01 00:00:00
ARIMA,1,0.06554292848645149,0.06554292848645149,3.140189364203347,0.03754386738593828,0.09824723762297738,0.1072084699649536,0.04912361881148869,1.0,0.050000000000000044,2007-04-29 00:00:00
ARIMA,1,0.09017817694485442,0.09017817694485442,5.319966812252965,0.05165526769258019,0.1005452343640823,0.10991010408752247,0.05027261718204117,1.0,0.050000000000000044,2007-05-27 00:00:00
ARIMA,1,0.02475004795375879,0.02475004795375879,2.626348038099747,0.014177158995323388,0.09384508818198502,0.10225461263434296,0.04692254409099251,1.0,0.050000000000000044,2007-06-24 00:00:00
ARIMA,1,0.27229838664110584,0.27229838664110584,28.47865045992009,0.15597616331061362,0.15009464086548216,0.1669975146652784,0.07504732043274108,1.0,0.050000000000000044,2007-07-22 00:00:00
ARIMA,1,0.1406771699929732,0.1406771699929732,9.439275840349048,0.08058176734561144,0.1075095555753059,0.11807657220469386,0.05375477778765295,1.0,0.050000000000000044,2007-08-19 00:00:00
