model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel
Chronos-Bolt-small,2016-2017,latest,2017-01-01,2017-01-01,0.0,9.57,10.0625,0.4924999999999997,0.05146290491118074
Chronos-Bolt-small,2017-2018,latest,2018-01-14,2018-01-28,2.0,14.73,12.140625,2.5893750000000004,-0.1757892057026477
Chronos-Bolt-small,2018-2019,latest,2019-02-03,2019-01-27,-1.0,14.06,11.1796875,2.8803125000000005,-0.20485864153627314
Chronos-Bolt-small,2019-2020,latest,2020-02-02,2020-01-19,-2.0,12.62,12.1875,0.4324999999999992,-0.03427099841521389
Chronos-Bolt-small,2020-2021,latest,2020-11-08,2021-01-17,10.0,2.04,7.03125,4.99125,2.4466911764705883
Chronos-Bolt-small,2021-2022,latest,2022-04-03,2022-04-17,2.0,5.29,6.2109375,0.9209375,0.17409026465028354
Chronos-Bolt-small,2022-2023,latest,2022-12-04,2022-12-04,0.0,15.72,14.6328125,1.0871875000000006,-0.06915951017811708
Chronos-Bolt-small,2023-2024,latest,2023-12-31,2023-12-31,0.0,18.45,18.953125,0.5031250000000007,0.027269647696477006
Chronos-Bolt-small,2024-2025,latest,2025-01-26,2025-01-26,0.0,17.3743081984728,15.0546875,2.3196206984728,-0.1335086653220929
Chronos-Small,2008-2009,latest,2009-01-25,2009-02-15,3.0,8.23,5.390621185302734,2.839378814697266,-0.3450035011782826
Chronos-Small,2009-2010,latest,2009-11-15,2009-11-22,1.0,12.92,13.17954158782959,0.2595415878295899,0.02008835819114473
Chronos-Small,2010-2011,latest,2011-02-06,2011-02-06,0.0,11.04,10.98406982421875,0.05593017578124915,-0.005066139110620394
Chronos-Small,2011-2012,latest,2012-02-05,2012-02-19,2.0,9.63,12.409479141235352,2.779479141235351,0.2886271174699222
Chronos-Small,2012-2013,latest,2013-02-10,2013-02-24,2.0,9.98,8.725018501281738,1.2549814987182621,-0.12574964917016654
Chronos-Small,2013-2014,latest,2014-02-09,2014-02-16,1.0,6.62,8.969976425170898,2.3499764251708983,0.35498133310738644
Chronos-Small,2014-2015,latest,2015-01-25,2015-02-01,1.0,10.87,11.130243301391602,0.26024330139160234,0.023941426070984578
Chronos-Small,2015-2016,latest,2016-02-28,2016-02-21,-1.0,6.14,6.217517375946045,0.07751737594604524,0.012624979795772841
Chronos-Small,2016-2017,latest,2017-01-01,2017-01-08,1.0,9.57,12.422531127929688,2.852531127929687,0.29807012831031215
Chronos-Small,2017-2018,latest,2018-01-14,2018-01-28,2.0,14.73,12.999077796936035,1.7309222030639653,-0.11750999341914224
Chronos-Small,2018-2019,latest,2019-02-03,2019-02-03,0.0,14.06,12.14920711517334,1.9107928848266607,-0.13590276563489762
Chronos-Small,2019-2020,latest,2020-02-02,2020-02-02,0.0,12.62,13.27033805847168,0.6503380584716805,0.0515323342687544
Chronos-Small,2020-2021,latest,2020-11-08,2021-01-17,10.0,2.04,3.672821521759033,1.6328215217590332,0.8004027067446241
Chronos-Small,2021-2022,latest,2022-04-03,2022-04-17,2.0,5.29,6.057403564453125,0.767403564453125,0.14506683638055293
Chronos-Small,2022-2023,latest,2022-12-04,2022-12-04,0.0,15.72,14.650890350341797,1.0691096496582038,-0.06800951969835901
Chronos-Small,2023-2024,latest,2023-12-31,2023-12-31,0.0,18.45,18.666074752807617,0.2160747528076179,0.01171136871586005
Chronos-Small,2024-2025,latest,2025-01-26,2025-01-26,0.0,17.3743081984728,16.393569946289062,0.9807382521837376,-0.056447614545593494
Chronos-V2,2008-2009,latest,2009-01-25,2009-02-15,3.0,8.23,5.2421875,2.9878125000000004,-0.3630391859052248
Chronos-V2,2009-2010,latest,2009-11-15,2009-11-22,1.0,12.92,11.9765625,0.9434374999999999,-0.07302147832817336
Chronos-V2,2010-2011,latest,2011-02-06,2011-01-30,-1.0,11.04,9.4140625,1.6259374999999991,-0.14727694746376804
Chronos-V2,2011-2012,latest,2012-02-05,2012-02-05,0.0,9.63,9.0546875,0.5753125000000008,-0.05974169262720672
Chronos-V2,2012-2013,latest,2013-02-10,2013-02-24,2.0,9.98,8.8828125,1.0971875000000004,-0.10993862725450905
Chronos-V2,2013-2014,latest,2014-02-09,2014-02-02,-1.0,6.62,6.92578125,0.3057812499999999,0.046190521148036234
Chronos-V2,2014-2015,latest,2015-01-25,2015-02-01,1.0,10.87,11.71875,0.8487500000000008,0.07808187672493108
Chronos-V2,2015-2016,latest,2016-02-28,2016-03-20,3.0,6.14,6.578125,0.4381250000000003,0.07135586319218247
Chronos-V2,2016-2017,latest,2017-01-01,2017-01-22,3.0,9.57,12.3828125,2.8128124999999997,0.29391980146290486
Chronos-V2,2017-2018,latest,2018-01-14,2018-01-28,2.0,14.73,11.0859375,3.6440625000000004,-0.24739052953156826
Chronos-V2,2018-2019,latest,2019-02-03,2019-01-27,-1.0,14.06,11.609375,2.4506250000000005,-0.174297652916074
Chronos-V2,2019-2020,latest,2020-02-02,2020-02-02,0.0,12.62,11.0546875,1.5653124999999992,-0.12403427099841516
Chronos-V2,2020-2021,latest,2020-11-08,2020-11-22,2.0,2.04,3.48046875,1.44046875,0.7061121323529411
Chronos-V2,2021-2022,latest,2022-04-03,2022-01-23,-10.0,5.29,7.0546875,1.7646875,0.3335893194706994
Chronos-V2,2022-2023,latest,2022-12-04,2022-12-11,1.0,15.72,17.359375,1.6393749999999994,0.10428594147582693
Chronos-V2,2023-2024,latest,2023-12-31,2024-01-07,1.0,18.45,21.015625,2.5656250000000007,0.13905826558265588
Chronos-V2,2024-2025,latest,2025-01-26,2025-01-26,0.0,17.3743081984728,15.59375,1.7805581984728,-0.10248225012086012
Drift,2008-2009,latest,2009-01-25,2009-03-08,6.0,8.23,6.801025641025641,1.4289743589743598,-0.1736299342617691
Drift,2009-2010,latest,2009-11-15,2009-12-13,4.0,12.92,13.212093023255814,0.29209302325581454,0.022607819137446947
Drift,2010-2011,latest,2011-02-06,2011-02-20,2.0,11.04,8.35076923076923,2.68923076923077,-0.24358974358974367
Drift,2011-2012,latest,2012-02-05,2012-03-18,6.0,9.63,7.242833333333333,2.387166666666668,-0.24788854274835598
Drift,2012-2013,latest,2013-02-10,2013-03-17,5.0,9.98,9.849552238805972,0.1304477611940289,-0.013070917955313517
Drift,2013-2014,latest,2014-02-09,2014-03-16,5.0,6.62,6.299189189189189,0.3208108108108112,-0.0484608475545032
Drift,2014-2015,latest,2015-01-25,2015-02-15,3.0,10.87,9.04725,1.8227499999999992,-0.167686292548298
Drift,2015-2016,latest,2016-02-28,2016-03-13,2.0,6.14,6.124772727272727,0.015227272727273089,-0.002480011844832751
Drift,2016-2017,latest,2017-01-01,2017-02-19,7.0,9.57,7.687127659574468,1.882872340425532,-0.1967473709953534
Drift,2017-2018,latest,2018-01-14,2018-02-18,5.0,14.73,14.003762376237622,0.726237623762378,-0.0493033010021981
Drift,2018-2019,latest,2019-02-03,2019-03-17,6.0,14.06,11.299449541284403,2.7605504587155973,-0.1963407154136271
Drift,2019-2020,latest,2020-02-02,2020-03-15,6.0,12.62,10.809310344827589,1.8106896551724105,-0.14347778567134792
Drift,2020-2021,latest,2020-11-08,2020-12-20,6.0,2.04,1.8523333333333327,0.18766666666666731,-0.0919934640522879
Drift,2021-2022,latest,2022-04-03,2022-01-23,-10.0,5.29,4.7540625,0.5359375000000002,-0.1013114366729679
Drift,2022-2023,latest,2022-12-04,2023-01-22,7.0,15.72,14.13125925925926,1.5887407407407412,-0.1010649326170955
Drift,2023-2024,latest,2023-12-31,2024-01-21,3.0,18.45,18.33570422535212,0.11429577464787855,-0.006194892934844366
Drift,2024-2025,latest,2025-01-26,2025-02-16,3.0,17.3743081984728,16.15576727122622,1.218540927246579,-0.07013464440291721
ETS,2008-2009,latest,2009-01-25,2009-03-08,6.0,8.23,6.824058842427032,1.4059411575729683,-0.17083124636366565
ETS,2009-2010,latest,2009-11-15,2009-12-13,4.0,12.92,13.180514685264797,0.2605146852647966,0.020163675330092615
ETS,2010-2011,latest,2011-02-06,2011-02-20,2.0,11.04,8.45682365522614,2.583176344773859,-0.23398336456284957
ETS,2011-2012,latest,2012-02-05,2012-03-18,6.0,9.63,7.380014689404133,2.249985310595868,-0.2336433344336311
ETS,2012-2013,latest,2013-02-10,2013-03-17,5.0,9.98,9.95432343041568,0.025676569584319964,-0.0025728025635591146
ETS,2013-2014,latest,2014-02-09,2014-03-16,5.0,6.62,6.460633400845493,0.1593665991545068,-0.024073504404004048
ETS,2014-2015,latest,2015-01-25,2015-02-15,3.0,10.87,9.179330201254611,1.6906697987453878,-0.15553540006857294
ETS,2015-2016,latest,2016-02-28,2016-03-13,2.0,6.14,6.298766569158525,0.1587665691585256,0.02585774741995531
ETS,2016-2017,latest,2017-01-01,2017-02-19,7.0,9.57,7.854423491795804,1.7155765082041965,-0.1792660928113058
ETS,2017-2018,latest,2018-01-14,2018-02-18,5.0,14.73,14.116852116091366,0.6131478839086348,-0.04162578981049795
ETS,2018-2019,latest,2019-02-03,2019-03-17,6.0,14.06,11.448161160955811,2.6118388390441893,-0.18576378656075315
ETS,2019-2020,latest,2020-02-02,2020-03-15,6.0,12.62,10.96954531459196,1.6504546854080395,-0.13078087840000313
ETS,2020-2021,latest,2020-11-08,2020-12-20,6.0,2.04,2.130143118854664,0.09014311885466375,0.04418780336012929
ETS,2021-2022,latest,2022-04-03,2022-01-23,-10.0,5.29,5.025553322677262,0.26444667732273786,-0.049989920098816226
ETS,2022-2023,latest,2022-12-04,2023-01-22,7.0,15.72,14.344084995177177,1.375915004822824,-0.08752639979788956
ETS,2023-2024,latest,2023-12-31,2024-01-21,3.0,18.45,18.531181050061345,0.08118105006134613,0.0044000569138940996
ETS,2024-2025,latest,2025-01-26,2025-02-16,3.0,17.3743081984728,16.379065084770787,0.9952431137020135,-0.05728245995944145
LightGBM,2008-2009,latest,2009-01-25,2009-02-15,3.0,8.23,5.246718667685013,2.983281332314988,-0.36248861875030225
LightGBM,2009-2010,latest,2009-11-15,2009-11-22,1.0,12.92,9.739578313366426,3.180421686633574,-0.24616266924408467
LightGBM,2010-2011,latest,2011-02-06,2011-03-20,6.0,11.04,8.527995526810859,2.5120044731891404,-0.22753663706423374
