model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist
Prophet,2,3.133671054150863,4.032755247289986,78.52823487418257,1.7950087554069716,2.0641886042208126,2.2792454042130608,1.0320943021104063,0.831858407079646,0.11814159292035398
Prophet,4,3.1553069817212593,4.031427594754817,78.91236639512161,1.8074021045329973,2.077683686354978,2.3003806238408013,1.038841843177489,0.8407079646017699,0.10929203539823007
Prophet,8,3.1683125548019655,4.050015237681201,78.32376060331205,1.8148518710035493,2.0833218541951726,2.3068063535752157,1.0416609270975863,0.8230088495575221,0.12699115044247788
Ridge,1,0.354490433586042,0.5228769208809998,11.05994009596245,0.20305686876486212,0.25584109480592726,0.2803272435195616,0.1279205474029636,0.831858407079646,0.11814159292035398
Ridge,2,0.7997187328447508,1.1928913427923884,23.62175157281366,0.45808960242263763,0.57468792307786,0.6257273613921875,0.28734396153893005,0.8672566371681416,0.08274336283185835
Ridge,4,1.7770147482734522,2.6099647271244195,49.83725906570402,1.017897850960779,1.2831840164141968,1.397807183668667,0.6415920082070984,0.8141592920353983,0.13584070796460168
Ridge,8,2.5695439877773496,3.811026467226507,69.87261219440244,1.471869215294362,1.9112392971703343,2.0854809725250036,0.9556196485851671,0.8141592920353983,0.13584070796460168
SARIMA,1,0.3328972752723823,0.4911387317396061,10.88783475386445,0.1906880184419903,0.2282912133127668,0.2518239243373571,0.1141456066563834,0.9292035398230089,0.020796460176991105
SARIMA,2,0.7592295744114597,1.1223028958549905,24.788719376983487,0.4348968701189238,0.526407399194183,0.5808598940068618,0.2632036995970915,0.9203539823008849,0.029646017699115013
SARIMA,4,1.7076721984102123,2.4925063115460984,45.18878783169469,0.9781775095542085,1.183317700881814,1.30469486501566,0.591658850440907,0.9026548672566371,0.04734513274336283
SARIMA,8,2.6573457293516602,3.7967239823292522,66.57142627158247,1.5221632289742932,1.820906896779373,2.010090377730524,0.9104534483896864,0.8849557522123894,0.06504424778761053
SeasonalNaive,1,3.3855842007482004,4.787586755148163,76.56629923797092,1.9393079801597977,2.3533402179592136,2.6104081032212174,1.1766701089796068,0.8407079646017699,0.10929203539823007
SeasonalNaive,2,3.390460704797062,4.762904829594812,77.63310273048853,1.9421013069998594,2.3519330838862067,2.6073886079627533,1.1759665419431033,0.8584070796460177,0.09159292035398225
SeasonalNaive,4,3.2499090341529637,4.606830632095285,75.80479311435268,1.8615914273623497,2.250498105146028,2.490777921482498,1.125249052573014,0.8761061946902655,0.07389380530973444
SeasonalNaive,8,3.2373758286003826,4.6033418833487705,74.97805452297143,1.8544122393392808,2.2512144127858518,2.4912271847420966,1.1256072063929259,0.8672566371681416,0.08274336283185835
TiRex,1,0.3234904067863088,0.5105788446733981,8.563641116647226,0.18529963816796716,0.2084403076619622,0.22987035783669763,0.1042201538309811,0.8230088495575221,0.12699115044247788
TiRex,2,0.6618605387818114,1.1708639630167759,16.926624443726492,0.3791225822499911,0.43832060655785776,0.4822758162907331,0.21916030327892888,0.8053097345132744,0.1446902654867256
TiRex,4,1.3953365546180883,2.3286038756579988,33.28691532170317,0.799267469047594,0.9803411008691543,1.0615049677337398,0.49017055043457713,0.7876106194690266,0.1623893805309734
TiRex,8,1.8855934340671108,2.999773424245481,46.20031637522178,1.0800931765971553,1.323855600341761,1.4276671843940194,0.6619278001708805,0.7964601769911505,0.1535398230088495
TimeGPT,1,0.6828515891552919,1.0818626806671046,17.86334132215241,0.39114653707947983,0.5073408754043314,0.5483725784676429,0.25367043770216563,0.8849557522123894,0.06504424778761053
TimeGPT,2,1.3167384729481286,2.0213505177449846,32.99074170383212,0.7542454350440922,0.9769963146397904,1.065212636424759,0.4884981573198952,0.8584070796460177,0.09159292035398225
TimeGPT,4,2.1287043945082673,3.0948001919969363,49.50887906070042,1.2193503912142531,1.5478863104285898,1.7007884435706173,0.7739431552142949,0.8761061946902655,0.07389380530973444
TimeGPT,8,2.9489370888205895,4.0291164866882045,69.28801750029108,1.689190665550459,2.0429827239744673,2.2497720509244745,1.0214913619872334,0.8672566371681416,0.08274336283185835
TimesFM,1,0.3102181344906523,0.47557532635241506,9.37297351699377,0.1776971028146499,0.20926683272681124,0.23078044845184967,0.10465002989105071,0.831858407079646,0.11814159292035398
TimesFM,2,0.6636147224033445,1.0905312544386152,17.14252551370338,0.3801274021257316,0.42480108120264376,0.4708445610036468,0.21240054060132185,0.8230088495575221,0.12699115044247788
TimesFM,4,1.4442138386596368,2.250117501563908,34.69736112082703,0.8272650320588358,0.9536158922430746,1.043104398815984,0.4768079461215373,0.7256637168141593,0.22433628318584065
TimesFM,8,2.0137189028549023,3.153861581058999,47.74489333122241,1.1534851613621384,1.386933176668206,1.504672239270987,0.693466588334103,0.7787610619469026,0.1712389380530973
XGBoost,1,0.6017705010846405,0.9912897676268281,14.566875331707365,0.344702203749739,0.46649117771107285,0.5031013590822907,0.2332455888555364,0.8407079646017699,0.10929203539823007
XGBoost,2,0.9303127171853681,1.577440689512549,24.193216319682165,0.5328955859620967,0.7319908130772735,0.7889150741749176,0.3659954065386367,0.8407079646017699,0.10929203539823007
XGBoost,4,2.0019572448608676,2.9978462707128144,48.392938710138715,1.1467479261155002,1.47721629285591,1.6121376238624059,0.7386081464279552,0.8053097345132744,0.1446902654867256
XGBoost,8,2.983887900793026,4.353323519111259,63.64040447270406,1.7092109588151285,2.2422958742839167,2.436433072350521,1.1211479371419584,0.7876106194690266,0.1623893805309734
