model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2018-2019,8,2019-01-27,2018-12-30,-4.0,23.42,10.628186392429026,12.791813607570976,-0.546191870519683,marche
ARIMA,2019-2020,8,2020-02-02,2019-12-15,-7.0,25.81,8.371448603983259,17.43855139601674,-0.6756509645880179,marche
ARIMA,2020-2021,8,2020-12-20,2021-02-07,7.0,2.26,8.613022263072391,6.353022263072392,2.8110717978196424,marche
ARIMA,2021-2022,8,2022-04-03,2021-12-05,-17.0,12.53,8.097062392379856,4.432937607620143,-0.3537859223958614,marche
ARIMA,2022-2023,8,2022-12-18,2023-01-08,3.0,21.87,6.984737644183408,14.885262355816591,-0.6806247076276448,marche
ARIMA,2023-2024,8,2024-01-07,2023-12-31,-1.0,19.55,7.418337607664952,12.131662392335048,-0.6205453909122787,marche
ARIMA,2024-2025,8,2025-02-02,2024-12-01,-9.0,17.5038455418236,7.40229975683892,10.10154578498468,-0.5771043717706545,marche
CatBoost,2017-2018,8,2018-01-21,2018-03-18,8.0,26.49,5.688116820678461,20.801883179321536,-0.785273053202021,marche
CatBoost,2018-2019,8,2019-01-27,2018-12-30,-4.0,23.42,14.51429130815326,8.905708691846742,-0.3802608322735585,marche
CatBoost,2019-2020,8,2020-02-02,2020-02-09,1.0,25.81,14.88708839605498,10.92291160394502,-0.4232046340156923,marche
CatBoost,2020-2021,8,2020-12-20,2021-04-04,15.0,2.26,15.373198878186562,13.113198878186562,5.802300388578125,marche
CatBoost,2021-2022,8,2022-04-03,2022-01-30,-9.0,12.53,13.452344309518947,0.922344309518948,0.0736108786527492,marche
CatBoost,2022-2023,8,2022-12-18,2022-11-13,-5.0,21.87,11.393074399367055,10.476925600632946,-0.4790546685245974,marche
CatBoost,2023-2024,8,2024-01-07,2024-04-21,15.0,19.55,5.233100885849851,14.31689911415015,-0.7323222053273734,marche
CatBoost,2024-2025,8,2025-02-02,2024-12-01,-9.0,17.5038455418236,13.714047181703393,3.789798360120209,-0.2165123287374127,marche
Chronos-Bolt-small,2017-2018,8,2018-01-21,2018-03-18,8.0,26.49,4.087758541107178,22.40224145889282,-0.8456867292900273,marche
Chronos-Bolt-small,2018-2019,8,2019-01-27,2018-12-30,-4.0,23.42,8.1162691116333,15.3037308883667,-0.6534470917321392,marche
Chronos-Bolt-small,2019-2020,8,2020-02-02,2019-12-15,-7.0,25.81,11.470182418823242,14.339817581176757,-0.5555915374342021,marche
Chronos-Bolt-small,2020-2021,8,2020-12-20,2021-04-04,15.0,2.26,11.900663375854492,9.640663375854492,4.265780254802873,marche
Chronos-Bolt-small,2021-2022,8,2022-04-03,2022-01-30,-9.0,12.53,5.190732955932617,7.339267044067382,-0.5857355980899747,marche
