model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
Drift,2024-2025,latest,2025-01-12,2025-02-23,6.0,9.57880434782609,5.827148283982673,3.7516560638434164,-0.39166225006932676,molise
ETS,2017-2018,latest,2018-01-28,2018-01-28,0.0,43.19,10.833011694769947,32.35698830523005,-0.7491777796997001,molise
ETS,2018-2019,latest,2019-01-27,2019-03-03,5.0,6.23,4.292816125348038,1.9371838746519625,-0.3109444421592235,molise
ETS,2019-2020,latest,2020-02-02,2020-02-16,2.0,16.61,14.76250340496616,1.8474965950338387,-0.1112279708027597,molise
ETS,2020-2021,latest,2020-12-06,2020-12-13,1.0,1.21,14.76250340496616,13.55250340496616,11.200416037162116,molise
ETS,2021-2022,latest,2021-11-28,2021-12-12,2.0,1.92,1.6523096233476726,0.2676903766523273,-0.13942207117308714,molise
ETS,2022-2023,latest,2023-01-08,2023-01-15,1.0,6.51,6.082943237675083,0.4270567623249164,-0.0656001171006016,molise
ETS,2023-2024,latest,2024-01-07,2024-01-07,0.0,12.33,8.556108965527168,3.7738910344728325,-0.306073887629589,molise
ETS,2024-2025,latest,2025-01-12,2025-03-02,7.0,9.57880434782609,5.37729390004399,4.201510447782099,-0.43862577156987576,molise
LightGBM,2017-2018,latest,2018-01-28,2018-01-28,0.0,43.19,7.699253125585469,35.490746874414526,-0.8217352830380766,molise
LightGBM,2018-2019,latest,2019-01-27,2018-12-02,-8.0,6.23,8.478633943057353,2.248633943057353,0.36093642745703897,molise
LightGBM,2019-2020,latest,2020-02-02,2020-02-09,1.0,16.61,13.38859264914652,3.221407350853479,-0.1939438501416905,molise
LightGBM,2020-2021,latest,2020-12-06,2020-12-13,1.0,1.21,6.130534017651742,4.920534017651742,4.066557039381605,molise
LightGBM,2021-2022,latest,2021-11-28,2022-04-24,21.0,1.92,13.0425305251674,11.1225305251674,5.792984648524688,molise
LightGBM,2022-2023,latest,2023-01-08,2022-11-13,-8.0,6.51,7.415864925608315,0.9058649256083156,0.13914975815795938,molise
LightGBM,2023-2024,latest,2024-01-07,2024-01-07,0.0,12.33,6.317389560318329,6.012610439681671,-0.48764074936591006,molise
LightGBM,2024-2025,latest,2025-01-12,2024-11-03,-10.0,9.57880434782609,17.84614700075286,8.267342652926772,0.8630871195112202,molise
MovingAverage,2017-2018,latest,2018-01-28,2018-03-25,8.0,43.19,2.726153846153846,40.46384615384615,-0.9368799757778687,molise
MovingAverage,2018-2019,latest,2019-01-27,2019-04-28,13.0,6.23,3.275192307692308,2.9548076923076922,-0.47428694900605006,molise
MovingAverage,2019-2020,latest,2020-02-02,2019-12-22,-6.0,16.61,3.48576923076923,13.12423076923077,-0.7901403232529062,molise
MovingAverage,2020-2021,latest,2020-12-06,2020-12-20,2.0,1.21,3.39,2.18,1.8016528925619837,molise
MovingAverage,2021-2022,latest,2021-11-28,2021-11-07,-3.0,1.92,2.9611538461538465,1.0411538461538465,0.5422676282051284,molise
MovingAverage,2022-2023,latest,2023-01-08,2022-11-13,-8.0,6.51,2.1928846153846155,4.317115384615384,-0.663151364764268,molise
MovingAverage,2023-2024,latest,2024-01-07,2024-03-17,10.0,12.33,3.32326923076923,9.00673076923077,-0.7304728928816522,molise
MovingAverage,2024-2025,latest,2025-01-12,2025-03-02,7.0,9.57880434782609,4.04851048856141,5.530293859264679,-0.5773469901303266,molise
