model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,region
ARIMA,1,2.4238123853565865,5.302569004893934,83.83936200884474,0.5803667359144563,2.1115501849617955,2.2835646026427496,1.0557750924808977,0.9545454545454546,0.00454545454545463,basilicata
ARIMA,2,3.2558372525742985,7.0822038526629525,91.14130807391928,0.7795898933271792,2.645738395593027,2.8457263304823446,1.3228691977965135,0.9545454545454546,0.00454545454545463,basilicata
ARIMA,4,4.023512532449931,7.418533702431757,95.35634193763961,0.9634049439950102,2.9846158791928175,3.2542332892433254,1.4923079395964087,0.9545454545454546,0.00454545454545463,basilicata
ARIMA,8,6.640690176030788,10.63994380181966,125.66987760684746,1.5900717831818436,4.544314483005548,4.967055596793615,2.2721572415027746,0.8636363636363636,0.08636363636363631,basilicata
CatBoost,1,1.7221110468312204,2.5684542616203174,84.80426311076118,0.41234873341264194,1.3429674926685504,1.4614067162813376,0.6714837463342751,0.8181818181818182,0.13181818181818172,basilicata
CatBoost,2,2.194345935426551,3.2152215496575005,94.358279242415,0.5254224277855166,1.5475076186186596,1.718111984006567,0.7737538093093299,0.9090909090909091,0.040909090909090895,basilicata
CatBoost,4,3.6229849412961133,4.578222182666947,103.49190256621306,0.8675011140921761,2.463007219716116,2.7370200127277253,1.231503609858058,0.8636363636363636,0.08636363636363631,basilicata
CatBoost,8,6.210379133662195,8.053518600208884,123.87248968271147,1.4870364919207721,4.51869474214406,4.966139960937407,2.25934737107203,0.8181818181818182,0.13181818181818172,basilicata
Chronos-Bolt-small,1,1.6095968159200496,2.690895163537353,82.6630674881186,0.3854079036139548,1.0376203983308185,1.1539523473857616,0.5188101991654093,0.9090909090909091,0.040909090909090895,basilicata
Chronos-Bolt-small,2,1.3957173706649206,2.307907467907861,90.03035844361963,0.334195806393958,0.9950508447539878,1.1042944299190938,0.4975254223769939,0.9545454545454546,0.00454545454545463,basilicata
Chronos-Bolt-small,4,2.766055245072489,3.887341970434088,105.99477543688636,0.6623146509359922,1.6804631039328966,1.872930136962127,0.8402315519664483,0.9090909090909091,0.040909090909090895,basilicata
Chronos-Bolt-small,8,4.16145243943146,6.833191468304541,124.99768437457483,0.9964337931133945,2.8532122816478567,3.135641093420267,1.4266061408239281,0.7727272727272727,0.17727272727272725,basilicata
Chronos-V2,1,1.6523718057417438,2.9757064186269204,89.3145614335607,0.39565010774310755,0.9944914124164458,1.0880836969576684,0.4972457062082229,0.9545454545454546,0.00454545454545463,basilicata
Chronos-V2,2,1.546804534676789,2.60435588111627,91.3285054084609,0.3703726840870885,1.0023298527869993,1.0964569364705654,0.5011649263934997,1.0,0.050000000000000044,basilicata
Chronos-V2,4,2.291145786045112,3.332745613787646,94.15233880264682,0.5486005473792228,1.4960415337985182,1.6587147988666961,0.748020766899259,1.0,0.050000000000000044,basilicata
Chronos-V2,8,3.846777639338936,6.6188529614070655,109.68330362240938,0.9210868777714447,2.7027419504161427,3.002025154398073,1.3513709752080714,0.9090909090909091,0.040909090909090895,basilicata
Drift,1,2.3187412897092674,6.314544444059413,90.8401004731601,0.5552081183629503,2.3715362274202807,2.545533846663219,1.1857681137101403,0.9545454545454546,0.00454545454545463,basilicata
Drift,2,3.0040849216947616,7.732356033663222,98.5137971224754,0.7193093702082589,3.1509455360236713,3.4126379067228187,1.5754727680118357,0.9545454545454546,0.00454545454545463,basilicata
Drift,4,4.268003155517207,8.235194246833958,118.79040599153873,1.0219466965367903,3.8728345744077135,4.261300008398273,1.9364172872038568,0.9545454545454546,0.00454545454545463,basilicata
Drift,8,7.023940447915131,12.297159604319122,139.50620119818024,1.6818386669042078,5.887964808224467,6.513087957975776,2.943982404112234,0.9545454545454546,0.00454545454545463,basilicata
ETS,1,2.0026825246911653,4.906790805393535,83.69656375072697,0.47952982126417365,2.0098834113232833,2.176713200985833,1.0049417056616416,0.9545454545454546,0.00454545454545463,basilicata
ETS,2,2.753384250277328,6.234109554813745,94.09794242072836,0.6592806603786022,2.5423594888325507,2.759302742894743,1.2711797444162753,0.9545454545454546,0.00454545454545463,basilicata
ETS,4,3.857917691342349,6.736324829184241,113.46500187794601,0.9237542936400154,3.0732419073469885,3.388263006235607,1.5366209536734943,0.9545454545454546,0.00454545454545463,basilicata
ETS,8,6.5175001991667125,10.742861970768917,133.33306745743778,1.5605747126982044,4.9917177054807675,5.47897051031086,2.4958588527403838,0.8636363636363636,0.08636363636363631,basilicata
LightGBM,1,1.7034182806020288,2.651511948057258,88.39239015705243,0.4078728672989156,1.3582489246999387,1.4814327294990386,0.6791244623499694,0.8181818181818182,0.13181818181818172,basilicata
LightGBM,2,2.684715033713884,3.548442417091713,107.41436655489262,0.6428382453981764,1.9611768168364845,2.1565790880496163,0.9805884084182422,0.8181818181818182,0.13181818181818172,basilicata
LightGBM,4,4.619343348578261,5.708760034797685,116.81602889918301,1.1060729112035252,3.0574943819976044,3.384246501656202,1.5287471909988022,0.8636363636363636,0.08636363636363631,basilicata
LightGBM,8,7.500034501988938,9.080052143215966,133.1990848083094,1.7958364143455576,5.042720222388703,5.518190744812655,2.521360111194352,0.7272727272727273,0.22272727272727266,basilicata
MovingAverage,1,3.8329197768946015,5.550486152989422,103.87932993344941,0.9177686991689425,2.7141571505644104,2.9425315680484485,1.3570785752822052,0.8181818181818182,0.13181818181818172,basilicata
MovingAverage,2,3.193151040476381,4.4427238676075484,103.61171812836345,0.76458007139463,2.299801208878632,2.518091364322535,1.149900604439316,0.8181818181818182,0.13181818181818172,basilicata
MovingAverage,4,3.6369534719247723,4.77413242396383,102.12695675446699,0.8708457915001526,2.5011206414233627,2.7642103815844252,1.250560320711681,0.8636363636363636,0.08636363636363631,basilicata
MovingAverage,8,4.931575345236953,6.570347110677551,125.44597804661304,1.1808349125216262,3.375888474264497,3.658223494488961,1.6879442371322484,0.8636363636363636,0.08636363636363631,basilicata
Naive,1,2.2944005663587324,6.256492087789989,49.68114261438242,0.5493798841951194,2.3542925866342115,2.527438578788946,1.177146293317106,0.9545454545454546,0.00454545454545463,basilicata
Naive,2,2.954239232846881,7.611276684245532,68.2906945981853,0.7073741313627011,3.111599777905574,3.3707332407686468,1.5557998889527866,0.9545454545454546,0.00454545454545463,basilicata
Naive,4,4.18314710009659,8.008305337681653,100.54714258352506,1.0016284440991972,3.7952057185473547,4.178422602830482,1.8976028592736773,0.9545454545454546,0.00454545454545463,basilicata
Naive,8,6.844225961212644,11.892678272579646,133.22753410578838,1.6388071556064718,5.734358502452359,6.348236529288539,2.8671792512261796,0.9545454545454546,0.00454545454545463,basilicata
Prophet,1,4.004101966287745,5.775871687725476,124.591358663359,0.9587572051708926,2.682756713498368,2.9461280694315675,1.341378356749184,0.9545454545454546,0.00454545454545463,basilicata
Prophet,2,4.405274624806841,5.860905006512584,134.89380656610192,1.054815492425085,2.851336610499764,3.156530281329312,1.425668305249882,0.9090909090909091,0.040909090909090895,basilicata
Prophet,4,5.052268983228992,6.38387488616751,143.01420437857598,1.2097342502551345,3.22988578535121,3.602244808063618,1.614942892675605,0.9090909090909091,0.040909090909090895,basilicata
Prophet,8,5.818204116028981,7.566311208808171,150.03854979087953,1.3931326335751115,3.83204496109626,4.220468948120781,1.91602248054813,0.8636363636363636,0.08636363636363631,basilicata
Ridge,1,2.510973084009636,4.401848315662317,91.1985674591002,0.6012368207786576,1.9863714339236056,2.1299675775193636,0.9931857169618028,0.8181818181818182,0.13181818181818172,basilicata
Ridge,2,2.999441522359902,5.48766847689502,94.82417929883984,0.7181975372414002,2.3944953111669136,2.5673718103111383,1.1972476555834568,0.8181818181818182,0.13181818181818172,basilicata
Ridge,4,4.054532549141175,5.5014262661350815,99.64392239529893,0.97083249323268,2.816808623999476,3.1108197070534462,1.408404311999738,0.8181818181818182,0.13181818181818172,basilicata
Ridge,8,5.135263535899799,6.655604900147921,118.36502209269135,1.2296067774867134,3.582958495113907,3.8940471856069805,1.7914792475569534,0.8636363636363636,0.08636363636363631,basilicata
SARIMA,1,2.4238123853565865,5.302569004893934,83.83936200884474,0.5803667359144563,2.1115501849617955,2.2835646026427496,1.0557750924808977,0.9545454545454546,0.00454545454545463,basilicata
SARIMA,2,3.2558372525742985,7.0822038526629525,91.14130807391928,0.7795898933271792,2.645738395593027,2.8457263304823446,1.3228691977965135,0.9545454545454546,0.00454545454545463,basilicata
SARIMA,4,4.023512532449931,7.418533702431757,95.35634193763961,0.9634049439950102,2.9846158791928175,3.2542332892433254,1.4923079395964087,0.9545454545454546,0.00454545454545463,basilicata
SARIMA,8,6.640690176030788,10.63994380181966,125.66987760684746,1.5900717831818436,4.544314483005548,4.967055596793615,2.2721572415027746,0.8636363636363636,0.08636363636363631,basilicata
SeasonalNaive,1,5.639254250903736,9.324966104405902,144.8997292718804,1.350284206138022,4.310501963409998,4.728849463662454,2.1552509817049987,0.9090909090909091,0.040909090909090895,basilicata
SeasonalNaive,2,4.4385064935064955,6.759942152380084,138.7542101790758,1.0627726558103685,3.2771237727711164,3.62454633969282,1.6385618863855582,0.9545454545454546,0.00454545454545463,basilicata
SeasonalNaive,4,6.063445288591248,9.843326792113274,143.91379665505954,1.451854100505341,4.447459500324587,4.864221490750242,2.2237297501622937,0.9090909090909091,0.040909090909090895,basilicata
SeasonalNaive,8,4.400829399665668,6.417263579919082,127.82979289258569,1.0537511110310573,3.210055238107826,3.5651021894733677,1.605027619053913,0.9545454545454546,0.00454545454545463,basilicata
TiRex,1,1.5767304892411664,3.9584423191307767,85.3903653143971,0.37753826698227494,1.0337023244237786,1.1645376779073024,0.5168511622118893,0.9545454545454546,0.00454545454545463,basilicata
TiRex,2,1.5594488442408592,3.1939589982140286,91.94696368848362,0.37340028503257666,1.0174707861528234,1.1384650507425336,0.5087353930764117,0.8636363636363636,0.08636363636363631,basilicata
TiRex,4,2.4269184776850987,3.730491919639603,98.65854979592233,0.5811104703210624,1.6965013500423092,1.867956714835414,0.8482506750211545,0.7727272727272727,0.17727272727272725,basilicata
TiRex,8,4.168225922100944,7.113853917697868,122.92204557098405,0.9980556612296775,3.1930370090089686,3.407733964360632,1.5965185045044843,0.7272727272727273,0.22272727272727266,basilicata
TimeGPT,1,1.8788189787673728,3.989215195973369,83.70103852519696,0.4498714688764718,1.5549658747591908,1.6500482926722635,0.7774829373795954,0.9090909090909091,0.040909090909090895,basilicata
TimeGPT,2,2.0972693589155864,4.118680742242995,95.21751465619585,0.5021780479053759,1.6387970801029381,1.7859425658832686,0.8193985400514691,0.8636363636363636,0.08636363636363631,basilicata
TimeGPT,4,2.7288174227276123,3.8327344672424717,103.7397712291496,0.653398286972583,1.9235973314307129,2.1193167479753114,0.9617986657153565,0.8636363636363636,0.08636363636363631,basilicata
TimeGPT,8,4.432773678756576,6.868009120874562,117.50661720057873,1.0613999691271445,3.3370297110690825,3.6207604285469612,1.6685148555345413,0.9545454545454546,0.00454545454545463,basilicata
TimesFM,1,1.3829107151770155,2.663287889529201,75.31210533261188,0.3311293327310623,0.8592306463014505,0.9651667972481291,0.42961532315072526,1.0,0.050000000000000044,basilicata
TimesFM,2,1.4601912090375846,2.324492093819237,89.49967879415063,0.34963366427201914,0.9171827150602797,1.0279107259041316,0.45859135753013985,0.9545454545454546,0.00454545454545463,basilicata
TimesFM,4,2.2019934856872934,3.151601874793156,99.30623930804792,0.5272535859268741,1.4230848795533664,1.583530734052985,0.7115424397766831,0.9090909090909091,0.040909090909090895,basilicata
TimesFM,8,3.7209234055104785,6.657283393614613,114.70546109504511,0.8909518675993225,2.8074852110433333,3.0136891587666694,1.4037426055216669,0.5909090909090909,0.359090909090909,basilicata
XGBoost,1,1.878646883388087,3.172766323901144,87.81275462785362,0.44983026171285406,1.529276416953624,1.6523485683296522,0.764638208476812,0.8181818181818182,0.13181818181818172,basilicata
XGBoost,2,2.5878642028281122,5.027553144550407,99.86977566333152,0.6196479188979225,2.197763942302036,2.369942466056502,1.0988819711510183,0.7727272727272727,0.17727272727272725,basilicata
XGBoost,4,4.90448939472578,6.440633882549481,115.92578288478845,1.1743493508575795,3.6562697187263136,3.974358265525947,1.8281348593631568,0.7272727272727273,0.22272727272727266,basilicata
XGBoost,8,6.566394597702426,9.48081233959892,116.33451155070118,1.572282171020519,5.127628724622418,5.580948097344867,2.563814362311209,0.8181818181818182,0.13181818181818172,basilicata
