model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
Prophet,2022-2023,1,2022-12-18,2023-03-12,12.0,15.4,5.291451494263221,10.10854850573678,-0.6563992536192714,liguria
Prophet,2023-2024,1,2024-01-07,2024-04-28,16.0,18.86,9.862520724939907,8.997479275060092,-0.4770667696214259,liguria
Prophet,2024-2025,1,2025-01-26,2025-02-02,1.0,16.0246790061698,9.101708864466456,6.922970141703345,-0.432019270965607,liguria
Ridge,2017-2018,1,2018-01-07,2018-01-28,3.0,17.25,10.887665270703636,6.362334729296364,-0.36883099879978926,liguria
Ridge,2018-2019,1,2019-01-27,2019-03-03,5.0,9.89,8.491888284917094,1.3981117150829068,-0.14136619970504619,liguria
Ridge,2019-2020,1,2020-02-09,2020-02-16,1.0,8.64,8.015574482763572,0.6244255172364284,-0.0722714719023644,liguria
Ridge,2020-2021,1,2021-02-21,2021-02-14,-1.0,2.88,3.1901391847081344,0.3101391847081345,0.10768721691254671,liguria
Ridge,2021-2022,1,2022-01-23,2021-12-12,-6.0,7.46,5.085419745243517,2.3745802547564834,-0.31830834514161976,liguria
Ridge,2022-2023,1,2022-12-18,2023-01-15,4.0,15.4,6.798627262565862,8.601372737434138,-0.558530697235983,liguria
Ridge,2023-2024,1,2024-01-07,2024-01-07,0.0,18.86,17.066391827905942,1.793608172094057,-0.09510117561474322,liguria
Ridge,2024-2025,1,2025-01-26,2025-02-02,1.0,16.0246790061698,15.029363789471702,0.9953152166980992,-0.062111398070119485,liguria
SARIMA,2017-2018,1,2018-01-07,2018-01-28,3.0,17.25,11.54258760098881,5.70741239901119,-0.3308644868991994,liguria
SARIMA,2018-2019,1,2019-01-27,2019-03-03,5.0,9.89,8.424127411122976,1.4658725888770245,-0.14821765307148882,liguria
SARIMA,2019-2020,1,2020-02-09,2020-02-16,1.0,8.64,8.342938326874696,0.2970616731253042,-0.0343821380932065,liguria
SARIMA,2020-2021,1,2021-02-21,2021-02-14,-1.0,2.88,3.225657300875129,0.3456573008751289,0.12001989613719755,liguria
SARIMA,2021-2022,1,2022-01-23,2021-12-12,-6.0,7.46,5.063740462088049,2.396259537911951,-0.3212144152696985,liguria
SARIMA,2022-2023,1,2022-12-18,2023-01-15,4.0,15.4,6.718256106478599,8.681743893521402,-0.5637496034754157,liguria
SARIMA,2023-2024,1,2024-01-07,2024-01-07,0.0,18.86,17.095621169274658,1.7643788307253416,-0.09355136960367666,liguria
SARIMA,2024-2025,1,2025-01-26,2025-02-02,1.0,16.0246790061698,15.023268802222084,1.0014102039477173,-0.06249174810691407,liguria
SeasonalNaive,2017-2018,1,2018-01-07,2018-01-28,3.0,17.25,3.97,13.28,-0.769855072463768,liguria
SeasonalNaive,2018-2019,1,2019-01-27,2019-01-06,-3.0,9.89,7.54,2.3500000000000005,-0.23761375126390297,liguria
SeasonalNaive,2019-2020,1,2020-02-09,2019-12-22,-7.0,8.64,14.97,6.33,0.7326388888888888,liguria
SeasonalNaive,2020-2021,1,2021-02-21,2021-04-11,7.0,2.88,9.6,6.72,2.3333333333333335,liguria
SeasonalNaive,2021-2022,1,2022-01-23,2022-04-03,10.0,7.46,6.97,0.4900000000000002,-0.06568364611260057,liguria
SeasonalNaive,2022-2023,1,2022-12-18,2023-01-15,4.0,15.4,1.56,13.84,-0.8987012987012987,liguria
SeasonalNaive,2023-2024,1,2024-01-07,2024-01-07,0.0,18.86,4.15,14.709999999999999,-0.7799575821845175,liguria
SeasonalNaive,2024-2025,1,2025-01-26,2024-12-08,-7.0,16.0246790061698,15.4,0.6246790061698011,-0.038982310093655416,liguria
TiRex,2017-2018,1,2018-01-07,2018-01-28,3.0,17.25,13.158512115478516,4.091487884521484,-0.23718770345052084,liguria
TiRex,2018-2019,1,2019-01-27,2019-03-03,5.0,9.89,8.652774810791016,1.237225189208985,-0.12509860356005914,liguria
TiRex,2019-2020,1,2020-02-09,2020-02-16,1.0,8.64,8.381147384643555,0.2588526153564459,-0.029959793444033087,liguria
TiRex,2020-2021,1,2021-02-21,2021-02-14,-1.0,2.88,2.816339492797852,0.06366050720214789,-0.02210434277852357,liguria
TiRex,2021-2022,1,2022-01-23,2021-12-12,-6.0,7.46,4.8239030838012695,2.6360969161987304,-0.35336419788186735,liguria
TiRex,2022-2023,1,2022-12-18,2023-01-15,4.0,15.4,7.078415870666504,8.321584129333496,-0.5403626058008764,liguria
TiRex,2023-2024,1,2024-01-07,2024-01-07,0.0,18.86,16.610279083251953,2.2497209167480463,-0.11928530841718167,liguria
TiRex,2024-2025,1,2025-01-26,2025-02-02,1.0,16.0246790061698,15.305145263671877,0.7195337424979247,-0.04490160097565079,liguria
TimeGPT,2017-2018,1,2018-01-07,2018-01-28,3.0,17.25,14.116208,3.1337919999999997,-0.18166910144927534,liguria
