model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
Ridge,2017-2018,8,2018-01-14,2018-03-18,9.0,17.18,-2.660501491604098,19.840501491604098,-1.1548603894996565,umbria
Ridge,2018-2019,8,2019-02-24,2018-12-30,-8.0,20.39,5.388041248441809,15.001958751558192,-0.7357507970357131,umbria
Ridge,2019-2020,8,2020-02-02,2020-02-09,1.0,16.86,7.8276566316281215,9.032343368371878,-0.5357261784324957,umbria
Ridge,2020-2021,8,2020-12-20,2021-04-04,15.0,3.36,7.733384068392503,4.373384068392504,1.3016024013072929,umbria
Ridge,2021-2022,8,2022-03-20,2021-12-05,-15.0,13.5,7.201836136605003,6.298163863394997,-0.46653065654777753,umbria
Ridge,2022-2023,8,2022-11-27,2023-04-30,22.0,19.61,3.914586296992197,15.695413703007802,-0.8003780572670985,umbria
Ridge,2023-2024,8,2023-12-31,2024-02-25,8.0,22.93,11.892736392149333,11.037263607850667,-0.4813459924923972,umbria
Ridge,2024-2025,8,2025-01-26,2025-03-23,8.0,16.4854942048809,7.766648924109787,8.718845280771113,-0.5288798244331494,umbria
SARIMA,2017-2018,8,2018-01-14,2018-03-18,9.0,17.18,-3.4230048550691774,20.603004855069177,-1.1992435887700337,umbria
SARIMA,2018-2019,8,2019-02-24,2019-04-21,8.0,20.39,19.212664958043906,1.1773350419560948,-0.05774080637352108,umbria
SARIMA,2019-2020,8,2020-02-02,2020-02-09,1.0,16.86,5.782498231766775,11.077501768233224,-0.6570285746283051,umbria
SARIMA,2020-2021,8,2020-12-20,2020-12-13,-1.0,3.36,15.14,11.780000000000001,3.5059523809523814,umbria
SARIMA,2021-2022,8,2022-03-20,2022-01-30,-7.0,13.5,5.785035567991139,7.714964432008861,-0.5714788468154711,umbria
SARIMA,2022-2023,8,2022-11-27,2023-01-08,6.0,19.61,10.92969825185899,8.680301748141009,-0.44264669801840945,umbria
SARIMA,2023-2024,8,2023-12-31,2024-02-25,8.0,22.93,26.267124079964702,3.3371240799647026,0.14553528477822514,umbria
SARIMA,2024-2025,8,2025-01-26,2025-03-23,8.0,16.4854942048809,16.43241632189952,0.0530778829813805,-0.003219671932289758,umbria
SeasonalNaive,2017-2018,8,2018-01-14,2018-03-18,9.0,17.18,5.65,11.53,-0.6711292200232829,umbria
SeasonalNaive,2018-2019,8,2019-02-24,2018-12-30,-8.0,20.39,9.04,11.350000000000001,-0.5566454144188329,umbria
SeasonalNaive,2019-2020,8,2020-02-02,2020-02-09,1.0,16.86,14.09,2.7699999999999996,-0.16429418742586,umbria
SeasonalNaive,2020-2021,8,2020-12-20,2021-04-04,15.0,3.36,19.78,16.42,4.886904761904763,umbria
SeasonalNaive,2021-2022,8,2022-03-20,2022-03-27,1.0,13.5,6.81,6.69,-0.4955555555555556,umbria
SeasonalNaive,2022-2023,8,2022-11-27,2022-11-13,-2.0,19.61,5.95,13.66,-0.6965833758286589,umbria
SeasonalNaive,2023-2024,8,2023-12-31,2023-12-31,0.0,22.93,10.23,12.7,-0.5538595726122982,umbria
SeasonalNaive,2024-2025,8,2025-01-26,2024-12-01,-8.0,16.4854942048809,15.59,0.8954942048809009,-0.05432013100436927,umbria
TiRex,2017-2018,8,2018-01-14,2018-03-18,9.0,17.18,2.881180047988892,14.298819952011108,-0.8322945257282368,umbria
TiRex,2018-2019,8,2019-02-24,2018-11-04,-16.0,20.39,4.321334838867188,16.068665161132813,-0.788065971610241,umbria
TiRex,2019-2020,8,2020-02-02,2020-02-09,1.0,16.86,3.922010183334351,12.937989816665649,-0.767377806445175,umbria
TiRex,2020-2021,8,2020-12-20,2021-04-04,15.0,3.36,9.75843334197998,6.398433341979981,1.904295637494042,umbria
TiRex,2021-2022,8,2022-03-20,2022-01-30,-7.0,13.5,2.878992319107056,10.621007680892944,-0.7867413096957736,umbria
TiRex,2022-2023,8,2022-11-27,2023-04-30,22.0,19.61,4.759288311004639,14.85071168899536,-0.7573029928095544,umbria
TiRex,2023-2024,8,2023-12-31,2024-02-25,8.0,22.93,8.605087280273438,14.324912719726562,-0.6247236249335614,umbria
TiRex,2024-2025,8,2025-01-26,2024-12-01,-8.0,16.4854942048809,7.10109806060791,9.38439614427299,-0.5692517329261825,umbria
TimeGPT,2017-2018,8,2018-01-14,2018-03-18,9.0,17.18,8.096244,9.083756,-0.5287401629802095,umbria
TimeGPT,2018-2019,8,2019-02-24,2019-04-21,8.0,20.39,7.461865,12.928135000000001,-0.6340429131927415,umbria
TimeGPT,2019-2020,8,2020-02-02,2020-02-09,1.0,16.86,6.9097285,9.9502715,-0.5901703143534994,umbria
TimeGPT,2020-2021,8,2020-12-20,2021-04-04,15.0,3.36,7.81404,4.454040000000001,1.3256071428571432,umbria
TimeGPT,2021-2022,8,2022-03-20,2022-03-27,1.0,13.5,10.203188,3.296811999999999,-0.24420829629629623,umbria
TimeGPT,2022-2023,8,2022-11-27,2023-04-30,22.0,19.61,6.900682,12.709318,-0.6481039265680775,umbria
TimeGPT,2023-2024,8,2023-12-31,2024-02-25,8.0,22.93,13.252796,9.677204,-0.42203244657653727,umbria
TimeGPT,2024-2025,8,2025-01-26,2024-12-01,-8.0,16.4854942048809,10.076483,6.409011204880901,-0.3887667015152855,umbria
TimesFM,2017-2018,8,2018-01-14,2018-03-18,9.0,17.18,1.1193084716796875,16.060691528320312,-0.9348481681210892,umbria
TimesFM,2018-2019,8,2019-02-24,2018-12-30,-8.0,20.39,4.729485511779785,15.660514488220215,-0.7680487733310551,umbria
TimesFM,2019-2020,8,2020-02-02,2020-02-09,1.0,16.86,5.917745113372803,10.942254886627197,-0.6490068141534517,umbria
TimesFM,2020-2021,8,2020-12-20,2021-04-04,15.0,3.36,9.412572860717772,6.052572860717772,1.801360970451718,umbria
TimesFM,2021-2022,8,2022-03-20,2022-03-27,1.0,13.5,3.600900173187256,9.899099826812744,-0.7332666538379811,umbria
TimesFM,2022-2023,8,2022-11-27,2023-04-30,22.0,19.61,4.966155052185059,14.64384494781494,-0.7467539494041275,umbria
TimesFM,2023-2024,8,2023-12-31,2024-02-25,8.0,22.93,8.63186264038086,14.29813735961914,-0.6235559249724876,umbria
TimesFM,2024-2025,8,2025-01-26,2025-03-23,8.0,16.4854942048809,8.53976058959961,7.945733615281291,-0.4819833434492233,umbria
XGBoost,2017-2018,8,2018-01-14,2018-03-18,9.0,17.18,7.81744384765625,9.36255615234375,-0.5449683441410798,umbria
XGBoost,2018-2019,8,2019-02-24,2019-04-21,8.0,20.39,15.3317232131958,5.0582767868042,-0.24807635050535554,umbria
XGBoost,2019-2020,8,2020-02-02,2020-02-09,1.0,16.86,5.410005569458008,11.449994430541992,-0.6791218523453139,umbria
XGBoost,2020-2021,8,2020-12-20,2021-04-04,15.0,3.36,7.481288433074951,4.121288433074952,1.2265739384151642,umbria
XGBoost,2021-2022,8,2022-03-20,2022-01-30,-7.0,13.5,8.21154499053955,5.288455009460449,-0.3917374081081814,umbria
XGBoost,2022-2023,8,2022-11-27,2023-01-08,6.0,19.61,7.8495941162109375,11.760405883789062,-0.5997147314527824,umbria
XGBoost,2023-2024,8,2023-12-31,2024-04-21,16.0,22.93,9.303235054016112,13.626764945983888,-0.5942767093756602,umbria
XGBoost,2024-2025,8,2025-01-26,2025-03-23,8.0,16.4854942048809,14.104905128479004,2.380589076401897,-0.14440507799257057,umbria
